From: Boris Cisewski <Boris.Cisewski@awi.de>
Date: 13 September 2007 14:48:27 GMT+02:00
To: Martin Losch <Martin.Losch@awi.de>
Subject: Stationstabelle

Hallo Martin,

nach Rücksprache mit Volker schicke ich Dir meine aktuelle EIFEX-Stationstabelle, die sämtliche Profile
auflistet, die im Wirbelzentrum gemessen worden sind und eine MindestProfiltiefe von ~500 Meter besitzen.

Die letzte Spalte setzt einen Flag:   1 = inpatch  bzw. 0 = outpatch

Gruß
        Boris

-- 
***************************************************
Dr. Boris Cisewski
Alfred-Wegener-Institut
für Polar- und Meeresforschung
Postfach 120161
D-27515 Bremerhaven

e-mail:  Boris.Cisewski@awi.de fax   :   +49 -471 4831 1797
phone :   +49 -471 4831 1816
***************************************************

424 03  -49.399850 2.251283  11 02 2004 18 42 00 11 02 2004 18 53 00 11 02 2004 19 20 00 24.000000 497.000000     1
424 17  -49.416117 2.260450  12 02 2004 01 27 00 12 02 2004 01 46 00 12 02 2004 02 09 00 24.000000 1000.000000    1
424 20  -49.425517 2.257433  12 02 2004 03 16 00 12 02 2004 04 34 00 12 02 2004 05 42 00 24.000000 3910.000000    1
427 01  -49.200300 2.083183  13 02 2004 19 05 00 13 02 2004 19 16 00 13 02 2004 19 34 00 24.000000 499.000000     0
449 01  -48.998650 1.937017  16 02 2004 00 09 00 16 02 2004 00 22 00 16 02 2004 00 32 00 24.000000 491.000000     0
450 01  -49.199350 1.935867  16 02 2004 02 26 00 16 02 2004 02 37 00 16 02 2004 02 46 00 24.000000 492.000000     1
451 01  -49.398983 1.934033  16 02 2004 04 29 00 16 02 2004 04 39 00 16 02 2004 04 56 00 24.000000 493.000000     0
452 01  -49.598667 1.934867  16 02 2004 06 37 00 16 02 2004 06 47 00 16 02 2004 07 08 00 24.000000 492.000000     0     
463 02  -49.603333 2.241500  17 02 2004 10 40 00 17 02 2004 10 52 00 17 02 2004 11 00 00 24.000000 501.000000     0
464 01  -49.400517 2.249400  17 02 2004 12 31 00 17 02 2004 12 42 00 17 02 2004 13 01 00 24.000000 500.000000     0
465 02  -49.201283 2.248767  17 02 2004 16 15 00 17 02 2004 16 26 00 17 02 2004 16 46 00 24.000000 502.000000     0  
466 02  -49.006117 2.255667  17 02 2004 19 07 00 17 02 2004 19 17 00 17 02 2004 19 33 00 24.000000 498.000000     1
467 01  -48.799783 2.255167  17 02 2004 21 23 00 17 02 2004 22 26 00 17 02 2004 23 34 00 24.000000 4155.000000    0
469 01  -49.000567 2.551950  18 02 2004 02 35 00 18 02 2004 02 46 00 18 02 2004 02 55 00 24.000000 496.000000     0
470 01  -49.200617 2.549583  18 02 2004 04 16 00 18 02 2004 04 26 00 18 02 2004 04 40 00 24.000000 500.000000     0
471 01  -49.401483 2.549900  18 02 2004 05 58 00 18 02 2004 06 08 00 18 02 2004 06 22 00 24.000000 495.000000     0
508 02  -49.202117 2.007667  22 02 2004 07 53 00 22 02 2004 08 05 00 22 02 2004 08 29 00 24.000000 510.000000     1
508 16  -49.178383 2.064200  22 02 2004 16 37 00 22 02 2004 16 54 00 22 02 2004 17 22 00 24.000000 990.000000     1
508 18  -49.207433 2.000483  22 02 2004 20 22 00 22 02 2004 20 32 00 22 02 2004 20 52 00 24.000000 447.000000     1
509 01  -49.000783 2.003150  23 02 2004 06 03 00 23 02 2004 06 12 00 23 02 2004 06 26 00 24.000000 499.000000     0
509 13  -49.001333 2.014000  23 02 2004 11 47 00 23 02 2004 12 05 00 23 02 2004 12 35 00 24.000000 1010.000000    0
511 01  -49.301133 2.372383  24 02 2004 18 47 00 24 02 2004 18 57 00 24 02 2004 19 11 00 24.000000 498.000000     1
511 09  -49.316900 2.376383  24 02 2004 21 21 00 24 02 2004 21 40 00 24 02 2004 22 04 00 24.000000 998.000000     1
513 03  -49.616150 2.151567  27 02 2004 18 54 00 27 02 2004 19 07 00 27 02 2004 19 23 00 24.000000 499.000000     1
513 12  -49.594683 2.056433  28 02 2004 00 51 00 28 02 2004 01 12 00 28 02 2004 01 38 00 24.000000 1011.000000    1
513 16  -49.591367 2.036217  28 02 2004 02 36 00 28 02 2004 02 48 00 28 02 2004 03 03 00 24.000000 501.000000     1
514 02  -49.257567 2.335700  29 02 2004 17 55 00 29 02 2004 18 05 00 29 02 2004 18 20 00 24.000000 501.000000     0
514 13  -49.303717 2.338567  29 02 2004 22 05 00 29 02 2004 22 25 00 29 02 2004 22 57 00 24.000000 996.000000     0
515 01  -49.084550 2.122233  01 03 2004 15 12 00 01 03 2004 15 23 00 01 03 2004 15 36 00 24.000000 501.000000     1
516 01  -49.165733 2.116650  01 03 2004 16 38 00 01 03 2004 16 49 00 01 03 2004 17 00 00 24.000000 495.000000     1
522 01  -49.150483 2.116200  02 03 2004 17 29 00 02 03 2004 17 40 00 02 03 2004 17 54 00 24.000000 491.000000     1
523 01  -49.084633 2.117667  02 03 2004 18 48 00 02 03 2004 19 00 00 02 03 2004 19 10 00 24.000000 475.000000     1
524 01  -49.017517 2.113233  02 03 2004 19 49 00 02 03 2004 19 59 00 02 03 2004 20 15 00 24.000000 494.000000     1
526 01  -49.018250 2.121183  02 03 2004 22 14 00 02 03 2004 22 26 00 02 03 2004 22 40 00 24.000000 499.000000     1
527 01  -49.084350 2.117700  02 03 2004 23 23 00 02 03 2004 23 33 00 02 03 2004 23 47 00 24.000000 495.000000     1
528 01  -49.148683 2.122500  03 03 2004 00 35 00 03 03 2004 00 45 00 03 03 2004 01 04 00 24.000000 501.000000     1
529 01  -49.216967 2.116683  03 03 2004 01 54 00 03 03 2004 02 04 00 03 03 2004 02 19 00 24.000000 500.000000     1
533 01  -49.216100 2.115967  03 03 2004 06 15 00 03 03 2004 06 26 00 03 03 2004 06 39 00 24.000000 492.000000     1
534 01  -49.150050 2.117067  03 03 2004 07 23 00 03 03 2004 07 33 00 03 03 2004 07 48 00 24.000000 493.000000     1
535 01  -49.083000 2.115833  03 03 2004 08 40 00 03 03 2004 08 52 00 03 03 2004 09 10 00 24.000000 499.000000     1
540 01  -49.148700 2.115550  03 03 2004 15 40 00 03 03 2004 15 53 00 03 03 2004 16 09 00 24.000000 497.000000     1
543 08  -49.463683 2.456383  04 03 2004 05 14 00 04 03 2004 05 33 00 04 03 2004 06 02 00 24.000000 987.000000     1
543 10  -49.479350 2.455333  04 03 2004 06 54 00 04 03 2004 07 07 00 04 03 2004 07 23 00 24.000000 507.000000     1
543 15  -49.513383 2.457717  04 03 2004 10 39 00 04 03 2004 10 50 00 04 03 2004 11 05 00 24.000000 497.000000     1
544 03  -49.476500 2.121200  05 03 2004 16 05 00 05 03 2004 16 16 00 05 03 2004 16 25 00 24.000000 501.000000     1
544 18  -49.517167 2.046833  06 03 2004 10 14 00 06 03 2004 10 25 00 06 03 2004 10 47 00 24.000000 500.000000     1
544 53  -49.425333 1.833500  07 03 2004 10 34 00 07 03 2004 10 45 00 07 03 2004 11 11 00 24.000000 499.000000     1
544 60  -49.385300 1.866000  07 03 2004 18 26 00 07 03 2004 18 47 00 07 03 2004 19 12 00 24.000000 996.000000     1
544 63  -49.370000 1.867033  07 03 2004 20 20 00 07 03 2004 21 27 00 07 03 2004 22 45 00 24.000000 4027.000000    1
545 01  -49.251017 1.836783  08 03 2004 06 30 00 08 03 2004 06 42 00 08 03 2004 06 56 00 24.000000 500.000000     1
546 14  -49.457667 2.142550  09 03 2004 20 37 00 09 03 2004 20 58 00 09 03 2004 21 35 00 24.000000 992.000000     0
546 22  -49.466483 2.104983  10 03 2004 01 15 00 10 03 2004 02 27 00 10 03 2004 03 48 00 24.000000 3909.000000    0
553 03  -49.464200 2.432333  11 03 2004 19 17 00 11 03 2004 19 27 00 11 03 2004 19 58 00 24.000000 495.000000     1
553 10  -49.487350 2.416333  11 03 2004 23 50 00 12 03 2004 00 10 00 12 03 2004 00 34 00 24.000000 1003.000000    1
553 12  -49.492333 2.397683  12 03 2004 03 08 00 12 03 2004 03 20 00 12 03 2004 03 35 00 24.000000 552.000000     1
554 01  -49.693833 2.299233  12 03 2004 12 15 00 12 03 2004 12 27 00 12 03 2004 12 36 00 24.000000 502.000000     0
%555 01  -49.582333 2.197983  12 03 2004 13 45 00 12 03 2004 13 57 00 12 03 2004 14 10 00 24.000000 501.000000     1
556 01  -49.600300 2.325650  12 03 2004 14 57 00 12 03 2004 15 07 00 12 03 2004 15 22 00 24.000000 502.000000     1
559 01  -49.532000 2.323033  12 03 2004 18 30 00 12 03 2004 18 45 00 12 03 2004 19 04 00 24.000000 737.000000     1
560 02  -49.516550 2.192000  12 03 2004 20 53 00 12 03 2004 21 13 00 12 03 2004 21 34 00 24.000000 998.000000     1
562 02  -49.422167 2.022900  13 03 2004 00 21 00 13 03 2004 00 42 00 13 03 2004 01 04 00 24.000000 1005.000000    0
%563 01  -49.453300 2.224283  13 03 2004 02 16 00 13 03 2004 02 36 00 13 03 2004 03 00 00 24.000000 1005.000000    1
570 02  -49.429033 2.052833  14 03 2004 02 15 00 14 03 2004 03 37 00 14 03 2004 04 33 00 24.000000 3941.000000    1   
570 04  -49.416083 2.062317  14 03 2004 05 49 00 14 03 2004 06 00 00 14 03 2004 06 18 00 24.000000 496.000000     1
